"","date","hour","fullname","site","station","grounddepth","groundtemp","vwcdepth","vwc","airtemp","solar","windspeed","winddir"
"209","2024-12-02",17,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,107
"210","2024-12-02",17,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,108.6
"211","2024-12-02",18,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,244
"212","2024-12-02",18,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,204
"213","2024-12-02",18,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,350.6
"214","2024-12-02",18,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,107
"215","2024-12-02",18,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,320.8
"216","2024-12-02",19,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,286
"217","2024-12-02",19,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,185
"218","2024-12-02",19,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,252.2
"219","2024-12-02",19,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,107
"220","2024-12-02",19,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,78.4
"221","2024-12-02",20,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,324
"222","2024-12-02",20,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,192
"223","2024-12-02",20,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,286.2
"224","2024-12-02",20,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,107
"225","2024-12-02",20,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,100.2
"226","2024-12-02",21,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,329
"227","2024-12-02",21,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,208
"228","2024-12-02",21,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,235.4
"229","2024-12-02",21,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,107
"230","2024-12-02",21,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,87.2
"231","2024-12-02",22,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,330
"232","2024-12-02",22,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,223
"233","2024-12-02",22,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,235.4
"234","2024-12-02",22,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,107
"235","2024-12-02",22,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,92.4
"236","2024-12-02",23,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,314
"237","2024-12-02",23,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,185
"238","2024-12-02",23,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,285
"239","2024-12-02",23,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,107
"240","2024-12-02",23,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,85.6
"241","2024-12-03",0,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,302
"242","2024-12-03",0,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,163
"243","2024-12-03",0,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,278.2
"244","2024-12-03",0,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,107
"245","2024-12-03",0,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,52.8
"246","2024-12-03",1,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,302
"247","2024-12-03",1,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,163
"248","2024-12-03",1,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,278.2
"249","2024-12-03",1,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,107
"250","2024-12-03",1,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,52.8
"251","2024-12-03",2,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,278
"252","2024-12-03",2,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,163
"253","2024-12-03",2,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,246.2
"254","2024-12-03",2,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,107
