Line#,Date,"Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6"
172,12/02/22 18:35:00,,,,,,,,,,1,1,1,,,,,,,
173,12/02/22 19:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
174,12/02/22 19:05:00,,,,,,,,,,1,1,1,,,,,,,
175,12/02/22 19:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
176,12/02/22 19:35:00,,,,,,,,,,1,1,1,,,,,,,
177,12/02/22 20:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
178,12/02/22 20:05:00,,,,,,,,,,1,1,1,,,,,,,
179,12/02/22 20:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
180,12/02/22 20:35:00,,,,,,,,,,1,1,1,,,,,,,
181,12/02/22 21:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
182,12/02/22 21:05:00,,,,,,,,,,1,1,1,,,,,,,
183,12/02/22 21:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
184,12/02/22 21:35:00,,,,,,,,,,1,1,1,,,,,,,
185,12/02/22 22:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
186,12/02/22 22:05:00,,,,,,,,,,1,1,1,,,,,,,
187,12/02/22 22:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
188,12/02/22 22:35:00,,,,,,,,,,1,1,1,,,,,,,
189,12/02/22 23:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
190,12/02/22 23:05:00,,,,,,,,,,1,1,1,,,,,,,
191,12/02/22 23:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
192,12/02/22 23:35:00,,,,,,,,,,1,1,1,,,,,,,
193,12/03/22 00:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
194,12/03/22 00:05:00,,,,,,,,,,1,1,1,,,,,,,
195,12/03/22 00:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
196,12/03/22 00:35:00,,,,,,,,,,1,1,1,,,,,,,
197,12/03/22 01:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
198,12/03/22 01:05:00,,,,,,,,,,1,1,1,,,,,,,
199,12/03/22 01:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
200,12/03/22 01:35:00,,,,,,,,,,1,1,1,,,,,,,
201,12/03/22 02:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
202,12/03/22 02:05:00,,,,,,,,,,1,1,1,,,,,,,
203,12/03/22 02:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
204,12/03/22 02:35:00,,,,,,,,,,1,1,1,,,,,,,
205,12/03/22 03:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
206,12/03/22 03:05:00,,,,,,,,,,1,1,1,,,,,,,
207,12/03/22 03:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
208,12/03/22 03:35:00,,,,,,,,,,1,1,1,,,,,,,
209,12/03/22 04:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
210,12/03/22 04:05:00,,,,,,,,,,1,1,1,,,,,,,
211,12/03/22 04:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
212,12/03/22 04:35:00,,,,,,,,,,1,1,1,,,,,,,
213,12/03/22 05:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
214,12/03/22 05:05:00,,,,,,,,,,1,1,1,,,,,,,
215,12/03/22 05:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
216,12/03/22 05:35:00,,,,,,,,,,1,1,1,,,,,,,
217,12/03/22 06:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
218,12/03/22 06:05:00,,,,,,,,,,1,1,1,,,,,,,
219,12/03/22 06:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
220,12/03/22 06:35:00,,,,,,,,,,1,1,1,,,,,,,
221,12/03/22 07:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
222,12/03/22 07:05:00,,,,,,,,,,1,1,1,,,,,,,
223,12/03/22 07:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
224,12/03/22 07:35:00,,,,,,,,,,1,1,1,,,,,,,
225,12/03/22 08:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
226,12/03/22 08:05:00,,,,,,,,,,1,1,1,,,,,,,
227,12/03/22 08:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
228,12/03/22 08:35:00,,,,,,,,,,1,1,1,,,,,,,
229,12/03/22 09:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
230,12/03/22 09:05:00,,,,,,,,,,1,1,1,,,,,,,
