Line#,Date,"Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398664-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1_TNHA","Temperature (S-THC 21198259:21218018-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401800:21187245-1), *C, RX3000_BRW5_BUECI","Temperature (S-THC 21401800:21397542-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398659-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398660-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398661-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398668-1), *C, RX3000_BRW5_BUECI","Temperature (S-THC 21401803:21397541-1), *C, RX3000_BRW6_BEO","Temperature (S-THC 21198259:21390850-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398666-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21401801:21380922-1), *C, RX3000_BRW4_SSMH","Temperature (S-THC 21401801:21390849-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398667-1), *C, RX3000_BRW4_SSMH"
13332,08/20/23 17:00:00,,,,,5.53,,,,,,,,,,5.19,5.697,5.77
13333,08/20/23 17:05:00,,,,,5.62,,,,,,,,,,5.23,5.697,5.77
13334,08/20/23 17:10:00,,,,,5.55,,,,,,,,,,5.19,5.676,5.75
13335,08/20/23 17:15:00,,,,,5.53,,,,,,,,,,5.21,5.633,5.77
13336,08/20/23 17:20:00,,,,,5.62,,,,,,,,,,5.32,5.740,5.75
13337,08/20/23 17:25:00,,,,,5.60,,,,,,,,,,5.30,5.654,5.77
13338,08/20/23 17:30:00,,,,,5.60,,,,,,,,,,5.34,5.719,5.81
13339,08/20/23 17:35:00,,,,,5.72,,,,,,,,,,5.49,5.762,5.90
13340,08/20/23 17:40:00,,,,,5.68,,,,,,,,,,5.38,5.826,5.87
13341,08/20/23 17:45:00,,,,,5.79,,,,,,,,,,5.47,5.890,5.96
13342,08/20/23 17:50:00,,,,,5.83,,,,,,,,,,5.49,5.890,5.98
13343,08/20/23 17:55:00,,,,,5.85,,,,,,,,,,5.42,5.933,6.05
13344,08/20/23 18:00:00,,,,,5.90,,,,,,,,,,5.53,5.955,6.02
13345,08/20/23 18:05:00,,,,,5.83,,,,,,,,,,5.51,5.976,5.96
13346,08/20/23 18:10:00,,,,,5.81,,,,,,,,,,5.38,5.933,5.87
13347,08/20/23 18:15:00,,,,,5.83,,,,,,,,,,5.45,5.933,5.98
13348,08/20/23 18:20:00,,,,,5.85,,,,,,,,,,5.64,5.998,5.98
13349,08/20/23 18:25:00,,,,,5.75,,,,,,,,,,5.53,5.912,5.98
13350,08/20/23 18:30:00,,,,,5.64,,,,,,,,,,5.45,5.826,5.77
13351,08/20/23 18:35:00,,,,,5.68,,,,,,,,,,5.53,5.805,5.79
13352,08/20/23 18:40:00,,,,,5.66,,,,,,,,,,5.62,5.762,5.77
13353,08/20/23 18:45:00,,,,,5.66,,,,,,,,,,5.51,5.805,5.83
13354,08/20/23 18:50:00,,,,,5.66,,,,,,,,,,5.55,5.826,5.83
13355,08/20/23 18:55:00,,,,,5.70,,,,,,,,,,5.64,5.783,6.00
13356,08/20/23 19:00:00,,,,,5.85,,,,,,,,,,5.81,5.976,6.02
13357,08/20/23 19:05:00,,,,,5.96,,,,,,,,,,5.92,6.062,6.15
13358,08/20/23 19:10:00,,,,,6.07,,,,,,,,,,6.07,6.191,6.37
13359,08/20/23 19:15:00,,,,,6.20,,,,,,,,,,5.94,6.255,6.48
13360,08/20/23 19:20:00,,,,,6.24,,,,,,,,,,5.90,6.319,6.43
