"","date","station","sensor","depth","wspeedavg"
"356","2022-08-02","TNHA","TNHA-SC",1,0.727083333333333
"357","2022-08-03","TNHA","TNHA-SC",1,0.533333333333333
"358","2022-08-04","TNHA","TNHA-SC",1,0.664583333333333
"359","2022-08-05","TNHA","TNHA-SC",1,1.39166666666667
"360","2022-08-06","TNHA","TNHA-SC",1,4.01875
"361","2022-08-07","TNHA","TNHA-SC",1,0.795833333333333
"362","2022-08-08","TNHA","TNHA-SC",1,0.897916666666666
"363","2022-08-09","TNHA","TNHA-SC",1,1.94583333333333
"364","2022-08-10","TNHA","TNHA-SC",1,2.17291666666667
"365","2022-08-11","TNHA","TNHA-SC",1,1.61041666666667
"366","2022-08-12","TNHA","TNHA-SC",1,0.825
"367","2022-08-13","TNHA","TNHA-SC",1,2.78125
"368","2022-08-14","TNHA","TNHA-SC",1,1.11666666666667
"369","2022-08-15","TNHA","TNHA-SC",1,4.77291666666667
"370","2022-08-16","TNHA","TNHA-SC",1,4.48958333333333
"371","2022-08-17","TNHA","TNHA-SC",1,3.13333333333333
"372","2022-08-18","TNHA","TNHA-SC",1,6.19583333333333
"373","2022-08-19","TNHA","TNHA-SC",1,3.37916666666667
"374","2022-08-20","TNHA","TNHA-SC",1,2.38541666666667
"375","2022-08-21","TNHA","TNHA-SC",1,2.51666666666667
"376","2022-08-22","TNHA","TNHA-SC",1,1.57083333333333
"377","2022-08-23","TNHA","TNHA-SC",1,1.55625
"378","2022-08-24","TNHA","TNHA-SC",1,0.172916666666667
"379","2022-08-25","TNHA","TNHA-SC",1,0.366666666666667
"380","2022-08-26","TNHA","TNHA-SC",1,1.22708333333333
"381","2022-08-27","TNHA","TNHA-SC",1,1.78541666666667
"382","2022-08-28","TNHA","TNHA-SC",1,1.49166666666667
"383","2022-08-29","TNHA","TNHA-SC",1,0.1625
"384","2022-08-30","TNHA","TNHA-SC",1,0.1625
"385","2022-08-31","TNHA","TNHA-SC",1,0.8375
"386","2022-09-01","TNHA","TNHA-SC",1,2.21041666666667
"387","2022-09-02","TNHA","TNHA-SC",1,2.70416666666667
"388","2022-09-03","TNHA","TNHA-SC",1,0.4125
"389","2022-09-04","TNHA","TNHA-SC",1,2.175
"390","2022-09-05","TNHA","TNHA-SC",1,1.725
"391","2022-09-06","TNHA","TNHA-SC",1,0.710416666666667
"392","2022-09-07","TNHA","TNHA-SC",1,0.241666666666667
"393","2022-09-08","TNHA","TNHA-SC",1,0.302083333333333
"394","2022-09-09","TNHA","TNHA-SC",1,2.8625
"395","2022-09-10","TNHA","TNHA-SC",1,2.34583333333333
"396","2022-09-11","TNHA","TNHA-SC",1,0.677083333333333
"397","2022-09-12","TNHA","TNHA-SC",1,1.69375
"398","2022-09-13","TNHA","TNHA-SC",1,1.89375
"399","2022-09-14","TNHA","TNHA-SC",1,2.16041666666667
"400","2022-09-15","TNHA","TNHA-SC",1,1.21666666666667
"401","2022-09-16","TNHA","TNHA-SC",1,0.93125
"402","2022-09-17","TNHA","TNHA-SC",1,1.26583850931677
"403","2022-09-18","TNHA","TNHA-SC",1,0.571180555555556
"404","2022-09-19","TNHA","TNHA-SC",1,0.179861111111111
"405","2022-09-20","TNHA","TNHA-SC",1,0.0534722222222222
"406","2022-09-21","TNHA","TNHA-SC",1,0.0809027777777777
"407","2022-09-22","TNHA","TNHA-SC",1,0.330882352941176
"408","2022-09-23","TNHA","TNHA-SC",1,2.69791666666667
