"","date","station","sensor","depth","wdiravg"
"338","2022-07-15","SSMH","SSMH-BASE",1,172.458333333333
"339","2022-07-16","SSMH","SSMH-BASE",1,219.6875
"340","2022-07-17","SSMH","SSMH-BASE",1,272.083333333333
"341","2022-07-18","SSMH","SSMH-BASE",1,267.0625
"342","2022-07-19","SSMH","SSMH-BASE",1,233.9375
"343","2022-07-20","SSMH","SSMH-BASE",1,239.125
"344","2022-07-21","SSMH","SSMH-BASE",1,274.479166666667
"345","2022-07-22","SSMH","SSMH-BASE",1,226.8125
"346","2022-07-23","SSMH","SSMH-BASE",1,148.875
"347","2022-07-24","SSMH","SSMH-BASE",1,162.75
"348","2022-07-25","SSMH","SSMH-BASE",1,271.5
"349","2022-07-26","SSMH","SSMH-BASE",1,253.520833333333
"350","2022-07-27","SSMH","SSMH-BASE",1,52.1458333333333
"351","2022-07-28","SSMH","SSMH-BASE",1,34.3958333333333
"352","2022-07-29","SSMH","SSMH-BASE",1,39.4791666666667
"353","2022-07-30","SSMH","SSMH-BASE",1,171.020833333333
"354","2022-07-31","SSMH","SSMH-BASE",1,78.75
"355","2022-08-01","SSMH","SSMH-BASE",1,191.3125
"356","2022-08-02","SSMH","SSMH-BASE",1,107.541666666667
"357","2022-08-03","SSMH","SSMH-BASE",1,125.25
"358","2022-08-04","SSMH","SSMH-BASE",1,175.333333333333
"359","2022-08-05","SSMH","SSMH-BASE",1,152.791666666667
"360","2022-08-06","SSMH","SSMH-BASE",1,43.6041666666667
"361","2022-08-07","SSMH","SSMH-BASE",1,206.729166666667
"362","2022-08-08","SSMH","SSMH-BASE",1,274.791666666667
"363","2022-08-09","SSMH","SSMH-BASE",1,208.833333333333
"364","2022-08-10","SSMH","SSMH-BASE",1,215.125
"365","2022-08-11","SSMH","SSMH-BASE",1,208.833333333333
"366","2022-08-12","SSMH","SSMH-BASE",1,180.416666666667
"367","2022-08-13","SSMH","SSMH-BASE",1,59.1041666666667
"368","2022-08-14","SSMH","SSMH-BASE",1,133.979166666667
"369","2022-08-15","SSMH","SSMH-BASE",1,119.645833333333
"370","2022-08-16","SSMH","SSMH-BASE",1,141.020833333333
"371","2022-08-17","SSMH","SSMH-BASE",1,134.916666666667
"372","2022-08-18","SSMH","SSMH-BASE",1,189.645833333333
"373","2022-08-19","SSMH","SSMH-BASE",1,150.916666666667
"374","2022-08-20","SSMH","SSMH-BASE",1,181.291666666667
"375","2022-08-21","SSMH","SSMH-BASE",1,241.145833333333
"376","2022-08-22","SSMH","SSMH-BASE",1,276.875
"377","2022-08-23","SSMH","SSMH-BASE",1,280.604166666667
"378","2022-08-24","SSMH","SSMH-BASE",1,211.083333333333
"379","2022-08-25","SSMH","SSMH-BASE",1,74.3541666666667
"380","2022-08-26","SSMH","SSMH-BASE",1,166.8125
"381","2022-08-27","SSMH","SSMH-BASE",1,62.5625
"382","2022-08-28","SSMH","SSMH-BASE",1,187.729166666667
"383","2022-08-29","SSMH","SSMH-BASE",1,215.145833333333
"384","2022-08-30","SSMH","SSMH-BASE",1,232.770833333333
"385","2022-08-31","SSMH","SSMH-BASE",1,276.291666666667
"386","2022-09-01","SSMH","SSMH-BASE",1,278.708333333333
"387","2022-09-02","SSMH","SSMH-BASE",1,129.041666666667
"388","2022-09-03","SSMH","SSMH-BASE",1,150.145833333333
"389","2022-09-04","SSMH","SSMH-BASE",1,102.916666666667
"390","2022-09-05","SSMH","SSMH-BASE",1,203.375
"391","2022-09-06","SSMH","SSMH-BASE",1,152.041666666667
"392","2022-09-07","SSMH","SSMH-BASE",1,226.479166666667
"393","2022-09-08","SSMH","SSMH-BASE",1,244.25
"394","2022-09-09","SSMH","SSMH-BASE",1,274.166666666667
"395","2022-09-10","SSMH","SSMH-BASE",1,276.166666666667
"396","2022-09-11","SSMH","SSMH-BASE",1,275.125
"397","2022-09-12","SSMH","SSMH-BASE",1,278.604166666667
"398","2022-09-13","SSMH","SSMH-BASE",1,275.291666666667
"399","2022-09-14","SSMH","SSMH-BASE",1,279.020833333333
"400","2022-09-15","SSMH","SSMH-BASE",1,274.208333333333
"401","2022-09-16","SSMH","SSMH-BASE",1,274.25
"402","2022-09-17","SSMH","SSMH-BASE",1,282.375
"403","2022-09-18","SSMH","SSMH-BASE",1,277.809027777778
"404","2022-09-19","SSMH","SSMH-BASE",1,209.777777777778
"405","2022-09-20","SSMH","SSMH-BASE",1,120.878472222222
"406","2022-09-21","SSMH","SSMH-BASE",1,225.048611111111
"407","2022-09-22","SSMH","SSMH-BASE",1,182.214285714286
"408","2022-09-23","SSMH","SSMH-BASE",1,226
"409","2022-09-24","SSMH","SSMH-BASE",1,210.645833333333
"410","2022-09-25","SSMH","SSMH-BASE",1,263.145833333333
"411","2022-09-26","SSMH","SSMH-BASE",1,272.229166666667
"412","2022-09-27","SSMH","SSMH-BASE",1,247.3125
"413","2022-09-28","SSMH","SSMH-BASE",1,243.208333333333
"414","2022-09-29","SSMH","SSMH-BASE",1,265.5625
"415","2022-09-30","SSMH","SSMH-BASE",1,169.333333333333
"416","2022-10-01","SSMH","SSMH-BASE",1,167.3125
"417","2022-10-02","SSMH","SSMH-BASE",1,156.25
"418","2022-10-03","SSMH","SSMH-BASE",1,60.0833333333333
"419","2022-10-04","SSMH","SSMH-BASE",1,110.145833333333
"420","2022-10-05","SSMH","SSMH-BASE",1,148
"421","2022-10-06","SSMH","SSMH-BASE",1,161.895833333333
"422","2022-10-07","SSMH","SSMH-BASE",1,232.791666666667
"423","2022-10-08","SSMH","SSMH-BASE",1,188.0625
"424","2022-10-09","SSMH","SSMH-BASE",1,210.604166666667
"425","2022-10-10","SSMH","SSMH-BASE",1,185.3125
"426","2022-10-11","SSMH","SSMH-BASE",1,159.166666666667
"427","2022-10-12","SSMH","SSMH-BASE",1,165.708333333333
"428","2022-10-13","SSMH","SSMH-BASE",1,65.25
"429","2022-10-14","SSMH","SSMH-BASE",1,87.8958333333333
"430","2022-10-15","SSMH","SSMH-BASE",1,205.229166666667
"431","2022-10-16","SSMH","SSMH-BASE",1,231.458333333333
"432","2022-10-17","SSMH","SSMH-BASE",1,251.25
