time,Pm2.5,Pm10 0
2024-07-03T07:24:03.000Z,,
2024-07-03T07:35:42.000Z,4,4
2024-07-03T07:47:21.000Z,,
2024-07-03T07:59:00.000Z,,
2024-07-03T08:10:39.000Z,,
2024-07-03T08:22:18.000Z,,
2024-07-03T08:33:57.000Z,,
2024-07-03T08:45:36.000Z,4,5
2024-07-03T08:57:15.000Z,,
2024-07-03T09:08:54.000Z,,
2024-07-03T09:20:33.000Z,,
2024-07-03T09:32:12.000Z,,
2024-07-03T09:43:51.000Z,4,4
2024-07-03T09:55:30.000Z,,
2024-07-03T10:07:09.000Z,,
2024-07-03T10:18:48.000Z,,
2024-07-03T10:30:27.000Z,,
2024-07-03T10:42:06.000Z,11,14
2024-07-03T10:53:45.000Z,,
2024-07-03T11:05:24.000Z,,
2024-07-03T11:17:03.000Z,,
2024-07-03T11:28:42.000Z,,
2024-07-03T11:40:21.000Z,,
2024-07-03T11:52:00.000Z,4,4
2024-07-03T12:03:39.000Z,,
2024-07-03T12:15:18.000Z,,
2024-07-03T12:26:57.000Z,,
2024-07-03T12:38:36.000Z,,
2024-07-03T12:50:15.000Z,15,19
2024-07-03T13:01:54.000Z,,
2024-07-03T13:13:33.000Z,,
2024-07-03T13:25:12.000Z,,
2024-07-03T13:36:51.000Z,,
2024-07-03T13:48:30.000Z,4,4
2024-07-03T14:00:09.000Z,,
2024-07-03T14:11:48.000Z,,
2024-07-03T14:23:27.000Z,,
2024-07-03T14:35:06.000Z,,
2024-07-03T14:46:45.000Z,17,21
2024-07-03T14:58:24.000Z,,
2024-07-03T15:10:03.000Z,,
2024-07-03T15:21:42.000Z,,
2024-07-03T15:33:21.000Z,,
2024-07-03T15:45:00.000Z,,
2024-07-03T15:56:39.000Z,4,4
2024-07-03T16:08:18.000Z,,
2024-07-03T16:19:57.000Z,,
2024-07-03T16:31:36.000Z,,
2024-07-03T16:43:15.000Z,,
2024-07-03T16:54:54.000Z,12,16
2024-07-03T17:06:33.000Z,,
2024-07-03T17:18:12.000Z,,
2024-07-03T17:29:51.000Z,,
2024-07-03T17:41:30.000Z,,
2024-07-03T17:53:09.000Z,4,4
2024-07-03T18:04:48.000Z,,
2024-07-03T18:16:27.000Z,,
2024-07-03T18:28:06.000Z,,
2024-07-03T18:39:45.000Z,,
2024-07-03T18:51:24.000Z,11,14
2024-07-03T19:03:03.000Z,,
2024-07-03T19:14:42.000Z,,
2024-07-03T19:26:21.000Z,,
2024-07-03T19:38:00.000Z,,
2024-07-03T19:49:39.000Z,,
2024-07-03T20:01:18.000Z,4,4
2024-07-03T20:12:57.000Z,,
2024-07-03T20:24:36.000Z,,
2024-07-03T20:36:15.000Z,,
2024-07-03T20:47:54.000Z,,
2024-07-03T20:59:33.000Z,14,18
2024-07-03T21:11:12.000Z,,
2024-07-03T21:22:51.000Z,,
2024-07-03T21:34:30.000Z,,
2024-07-03T21:46:09.000Z,,
2024-07-03T21:57:48.000Z,4,4
2024-07-03T22:09:27.000Z,,
2024-07-03T22:21:06.000Z,,
2024-07-03T22:32:45.000Z,,
2024-07-03T22:44:24.000Z,,
2024-07-03T22:56:03.000Z,12,15
2024-07-03T23:07:42.000Z,,
2024-07-03T23:19:21.000Z,,
2024-07-03T23:31:00.000Z,,
2024-07-03T23:42:39.000Z,,
2024-07-03T23:54:18.000Z,,
2024-07-04T00:05:57.000Z,4,4
2024-07-04T00:17:36.000Z,,
2024-07-04T00:29:15.000Z,,
2024-07-04T00:40:54.000Z,,
2024-07-04T00:52:33.000Z,,
2024-07-04T01:04:12.000Z,9,11
2024-07-04T01:15:51.000Z,,
2024-07-04T01:27:30.000Z,,
2024-07-04T01:39:09.000Z,,
2024-07-04T01:50:48.000Z,,
2024-07-04T02:02:27.000Z,4,4
2024-07-04T02:14:06.000Z,,
2024-07-04T02:25:45.000Z,,
2024-07-04T02:37:24.000Z,,
2024-07-04T02:49:03.000Z,,
2024-07-04T03:00:42.000Z,,
2024-07-04T03:12:21.000Z,6,7
2024-07-04T03:24:00.000Z,,
2024-07-04T03:35:39.000Z,,
2024-07-04T03:47:18.000Z,,
2024-07-04T03:58:57.000Z,,
2024-07-04T04:10:36.000Z,4,4
2024-07-04T04:22:15.000Z,,
2024-07-04T04:33:54.000Z,,
2024-07-04T04:45:33.000Z,,
